Section,kg/m,h,b,tw,tf,r,hi,d,A,AL,AG,Iy,Wel_y,Wpl_y,iy,Avz,Iz,Wel_z,Wpl_z,iz,Ss,It,Iw
IPE 750 x 220,220.0,779.0,266.0,16.5,30.0,20.0,719.0,679.0,28070.0,2.555,11.56,2793900000.0,7173000.0,8231000.0,314.0,13900.0,94430000.0,710000.0,1114000.0,57.0,99.0,6205000.0,13190000000000.0
IPE 750 x 196,196.0,770.0,268.0,15.6,25.4,20.0,719.0,679.0,25080.0,2.546,12.88,2414700000.0,6271000.0,7207000.0,309.0,12969.999999999998,81770000.0,610200.0,960100.0,56.0,89.0,4165000.0,11290000000000.0
IPE 750 x 173,173.0,762.0,267.0,14.4,21.6,20.0,719.0,679.0,22130.0,2.529,14.49,2070100000.0,5433000.0,6251000.0,305.0,11860.0,68750000.0,515000.0,811100.0,55.0,81.0,2787000.0,9390000000000.0
IPE 750 x 147,147.0,753.0,265.0,13.2,17.0,20.0,719.0,679.0,18750.0,2.505,16.93,1672500000.0,4442000.0,5143000.0,297.0,10730.0,52910000.0,399300.0,632000.0,52.0,70.0,1632000.0,7140000000000.0
IPE 750 x 134,134.0,750.0,264.0,12.0,15.5,20.0,719.0,679.0,17060.0,2.498,18.55,1518900000.0,4050000.0,4678000.0,297.0,9777.0,47670000.0,361200.0,569600.0,52.0,66.0,1249000.0,6410000000000.0
IPE V 600,184.0,618.0,228.0,18.0,28.0,24.0,562.0,514.0,23380.0,2.071,11.28,1415800000.0,4581000.0,5324000.0,246.0,12450.0,55690000.0,488500.0,780300.0,48.0,102.0,5058000.0,4813000000000.0
IPE O 600,154.0,610.0,224.0,15.0,24.0,24.0,562.0,514.0,19680.0,2.045,13.24,1183000000.0,3878000.0,4471000.0,245.0,10430.0,45200000.0,403600.0,640000.0,47.0,91.0,3163000.0,3859000000000.0
IPE 600,122.0,600.0,220.0,12.0,19.0,24.0,562.0,514.0,15600.0,2.015,16.46,920800000.0,3069000.0,3512000.0,242.0,8378.0,33870000.0,307900.0,485600.0,46.0,78.0,1652000.0,2845000000000.0
IPE A 600,108.0,597.0,220.0,9.8,17.5,24.0,562.0,514.0,13700.0,2.013,18.71,829100000.0,2777000.0,3141000.0,245.0,7013.0,31160000.0,283200.0,442000.0,47.0,72.0,1221000.0,2607000000000.0
IPE O 550,123.0,556.0,212.0,12.7,20.2,24.0,515.6,467.6,15610.0,1.893,15.45,791500000.0,2847000.0,3263000.0,225.0,8268.0,32240000.0,304100.0,480500.0,45.0,81.0,1871000.0,2302000000000.0
IPE 550,106.0,550.0,210.0,11.1,17.2,24.0,515.6,467.6,13440.0,1.877,17.79,671100000.0,2440000.0,2787000.0,223.0,7234.0,26670000.0,254000.0,400500.0,44.0,73.0,1228000.0,1884000000000.0
IPE A 550,92.1,547.0,210.0,9.0,15.7,24.0,515.6,467.6,11730.0,1.875,20.36,599700000.0,2193000.0,2474000.0,226.0,6029.0,24320000.0,231600.0,361500.0,45.0,68.0,892900.0000000001,1710000000000.0
IPE AA 550,79.5,541.0,210.0,8.5,12.5,24.0,515.6,467.6,10130.0,1.864,23.44,495500000.0,1831000.0,2078000.0,221.0,5586.0,19370000.0,184500.0,289600.0,43.0,61.0,561800.0,1347000000000.0
IPE V 500,129.0,514.0,204.0,14.2,23.0,21.0,468.0,426.0,16410.0,1.78,13.82,707100000.0,2751000.0,3168000.0,207.0,8316.0,32710000.0,320700.0,506600.0,44.0,84.0,2415000.0,1961000000000.0
IPE O 500,107.0,506.0,202.0,12.0,19.0,21.0,468.0,426.0,13669.999999999998,1.76,16.4,577700000.0,2283000.0,2612000.0,205.0,7020.0,26210000.0,259500.0,408500.0,43.0,74.0,1427000.0,1547000000000.0
IPE 500,90.7,500.0,200.0,10.2,16.0,21.0,468.0,426.0,11550.0,1.744,19.23,481900000.0,1927000.0,2194000.0,204.0,5987.0,21410000.0,214100.0,335800.0,43.0,66.0,890900.0,1249000000000.0
